time_s,mean_hrr_kW,max_hrr_kW,q90_hrr_kW
0.0,301.26349060599784,351.75118988699944,341.65365003079916
2.0,1007.8918338184217,1085.1957561075499,1069.7349716497242
4.0,1597.8504778463393,1809.5923352943391,1767.2439638047392
6.0,1739.3206048919844,1947.6551315868082,1905.9882262478434
8.0,2204.4726149495496,2349.3968949102064,2320.412038918075
10.0,3100.714915347945,3321.8947427955477,3277.6587773060273
12.0,4297.226712814952,4527.566960527831,4481.498910985255
14.0,5593.130457814404,5991.998540112865,5912.2249236531725
16.0,6186.627029668794,6832.070441134449,6702.981758841318
18.0,6351.277382298025,7308.581735569299,7117.120864915044
20.0,5571.513915649693,6576.332150164472,6375.368503261517
22.0,4609.665425941779,5522.751820697964,5340.134541746727
24.0,3729.494212435605,4650.452596508512,4466.260919693931
26.0,3104.0498207730607,3802.7521751560157,3663.011704279425
28.0,2538.0814298406212,3078.6508077714966,2970.5369321853213
30.0,2000.8364737259226,2438.4854747028476,2350.9556745074624
32.0,1682.2513497113482,2032.3381181482123,1962.3207644608394
34.0,1498.229692533162,1733.9425758352086,1686.7999991747993
36.0,1355.7831862478404,1583.1394600531642,1537.6682052920994
38.0,1210.2289991911412,1429.9633012431016,1386.0164408327096
40.0,1092.5881650021342,1275.0686258960384,1238.5725337172576
42.0,998.6697731465591,1228.2001008503519,1182.2940353095933
44.0,880.3357248142296,1219.6856034595626,1151.815627730496
46.0,691.900967897693,937.5540309770722,888.4234183611964
48.0,523.854908883335,637.4139097460741,614.7021095735263
50.0,541.6135268717812,578.3634875253003,571.0134953945966
52.0,549.8718527476623,567.3455251864951,563.8507906987286
54.0,533.3073606040198,535.0761278527641,534.7223744030152
56.0,487.4145080811004,530.2734736540843,521.7016805394876
58.0,413.93070141835074,512.73234618115,492.9720172285901
60.0,389.68732330165074,467.8002654619308,452.17767702987476
62.0,367.04787674476984,398.3799688330176,392.113550415368
64.0,390.60243302209784,405.47523318354234,402.50067315125347
66.0,410.15607711968806,447.5978113402847,440.10946449616534
68.0,374.700750446258,444.47953913288865,430.52378139556254
70.0,367.0624119519297,433.03948910292456,419.8440736727256
72.0,384.8750805593089,442.8587197463026,431.26199190890384
74.0,370.3728716053988,426.5385249503464,415.3053942813569
76.0,287.4389007564546,301.9221658457228,299.0255128278692
78.0,243.56008668367832,294.67408750914467,284.4512873440514
80.0,276.8546041879039,285.0328173162177,283.39717469055495
82.0,327.90622362685633,382.4943362402782,371.5767137175938
84.0,537.6957595895212,537.6957595895212,537.6957595895212
86.0,455.3321074943078,455.3321074943078,455.3321074943078
88.0,235.80476995361641,235.80476995361641,235.80476995361641
